Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шведченко,Вадим,Олександрович,male,2003-03-10,Копірайтер,селище Дебальцеве,"набережна Водопровідний 3-й, буд. 64, Червоноград, 75026",358-98-81,alevtyn74@example.org
Дурдинець,Тетяна,Сергіївна,female,1980-09-01,Дизайнер,село Молодогвардійськ,"сквер Восьмого березня узвіз, буд. 985, Камінь-Каширський, 32508",+380 88 353 97 20,movcharenko@example.net
Назаренко,Пармен,Федорович,male,1950-10-23,Кадровий менеджер,хутір Перещепине,"площа Водопровідна, буд. 48 кв. 1, Косів, 05906",010 689 66 68,ostap83@example.com
Дерегус,Марко,Костянтинович,male,1999-02-20,Програміст,селище Ужгород,"провулок Стороженка Олега, буд. 223, Щастя , 70062",+380 51 209 59 39,kbaklan@example.com
Єременко,Демʼян,Олегович,male,2005-12-30,Бухгалтер,село Люботин,"провулок Мінська, буд. 36 кв. 341, Бар, 73669",396-32-41,orest01@example.org
Петрик,Орест,Михайлович,male,1985-06-14,Менеджер з продажу,село Монастирище,"парк Амурський 4-й, буд. 447 кв. 14, Одеса, 58660",+380 (08) 890-86-02,sviatoslavbarabash@example.org
Єфименко,Оксенія,Григоріївна,female,1993-03-18,Кадровий менеджер,місто Хорол ,"парк Степова, буд. 04, Бориспіль, 97614",+380 39 835-86-65,havryloiakovenko@example.net
Шеремета,Маруся,Максимівна,female,1998-11-09,PR-менеджер,село Ізяслав,"узвіз Вокзальний, буд. 0, Чигирин, 97680",770 41 57,nestorbazavluchenko@example.net
Заєць,Остап,Ігорович,male,1942-08-06,Аналітик даних,місто Мар'їнка,"шосе Єлісаветинська, буд. 9 кв. 8, Носівка, 52313",971-26-08,kchubai@example.net
Медведенко,Аркадій,Петрович,male,1950-10-28,Копірайтер,хутір Біла Церква,"шосе Проїзний 1-й, буд. 059, Інкерман, 21569",269 43 88,shyianhennadii@example.org
Єременко,Галина,Станіславівна,female,1987-12-16,Фінансовий аналітик,село Кам'янка-Бузька,"проспект Соборна, буд. 562 кв. 017, Тисмениця, 31173",+380 81 264-71-32,jiatsenko@example.net
Ільєнко,Тереза,Ігорівна,female,1965-04-08,Дизайнер,селище Ужгород,"площа Літакова, буд. 0, Сновськ, 63129",074 522 35 22,amaliiaaronets@example.net
Оберемко,Яків,Зеновійович,male,1974-07-28,Копірайтер,селище Кривий Ріг,"шосе Маршала Малиновського, буд. 01 кв. 23, Мерефа, 36490",+380 71 159 61 10,azar40@example.com
Назаренко,Соломія,Назарівна,female,1996-11-23,Аудитор,село Вільногірськ,"парк Лінія 54-та, буд. 08, Радехів, 47502",+380 (75) 455-76-97,nestorpavlenko@example.net
Тимчук,Ігнат,Геннадійович,male,2002-03-11,Менеджер з продажу,село Бахчисарай,"проспект Агрономічний, буд. 4, Устилуг, 14714",+380 32 570 55 09,kmatviienko@example.org
Чайка,Павло,Марківич,male,1982-09-24,HR-менеджер,хутір Рава-Руська,"проспект Карпатська, буд. 619, Миронівка, 02450",+380 (19) 549-44-25,prokhirprymachenko@example.org
Корбут,Ярослав,Борисович,male,1970-09-09,Менеджер з закупівель,село Помічна,"провулок Аркадіївський, буд. 67 кв. 7, Золотоноша, 47324",+380 67 901-49-16,irvanetseduard@example.net
Комар,Владислав,Михайлович,male,1969-11-25,HR-менеджер,хутір Жидачів,"провулок Лінія 27-ма, буд. 7, Путивль, 46757",+380 37 180-92-15,xshamrai@example.org
Ажажа,Віктор,Ігорович,male,1956-11-01,Менеджер з закупівель,село Боярка,"узвіз Гагаріна, буд. 237, Радехів, 45634",+380 10 476-88-59,khrystenkonestor@example.org
Примаченко,Леонтій,Тимофійович,male,1949-03-13,Менеджер з продажу,місто Березань ,"узвіз Тепла, буд. 100 кв. 07, Великі Мости, 65312",+380 (00) 459-39-69,ubaturynets@example.com
Христенко,Андрій,Леонідович,male,1997-05-15,Кадровий менеджер,місто Обухів,"сквер Кільовий, буд. 36, Чуднів, 20752",067 713-92-68,alytvyn@example.org
Лемешко,Богданна,Федорівна,female,1954-01-28,Офіс-менеджер,місто Заставна,"набережна Маяковського, буд. 296 кв. 90, Кілія, 64944",+380 92 508-06-27,artymyshynnazar@example.org
Хмара,Єлисей,Григорійович,male,1957-03-18,Бухгалтер,хутір Богуслав,"провулок Восьмого березня узвіз, буд. 7, Новоселиця, 19172",004 314-41-09,violettazhadan@example.com
Єресько,Мирон,Олексійович,male,2004-11-11,PR-менеджер,хутір Мостиська,"вулиця Восьмого березня 1-й, буд. 2 кв. 859, Приморськ (Україна), 75047",+380 (35) 790-07-00,sshtepa@example.com
Дергач,Святослава,Давидівна,female,1991-04-05,Кадровий менеджер,село Лебедин,"набережна Місячна, буд. 059, Харків, 04072",042 60 06,halynakolodub@example.com
Гайденко,Спас,Сергійович,male,1967-08-03,PR-менеджер,хутір Скалат,"парк Китобійний 1-й, буд. 0, Звенигородка, 94691",+380 (69) 095-40-22,irynaalekseienko@example.com
Гайдай,Трохим,Данилович,male,1986-04-22,Інженер з якості,місто Рівне,"сквер Професора Коровицького, буд. 6, Чорноморськ, 87402",+380 76 089-04-92,ggerus@example.net
Сімашкевич,Тетяна,Захарівна,female,1943-09-03,Фінансовий аналітик,хутір Старобільськ,"сквер Жаботинського, буд. 75, Богодухів, 73574",034 214-07-88,oryna05@example.com
Дуплій,Ганна,Михайлівна,female,1972-09-27,Менеджер з маркетингу,хутір Хмільник,"парк Каховський, буд. 53 кв. 7, Бунге , 04808",+380 86 862-20-97,randroshchuk@example.com
Тичина,Роксолана,Давидівна,female,1958-05-31,Системний адміністратор,село Золотоноша,"вулиця Толбухіна, буд. 135 кв. 5, Яготин, 29907",906 17 46,sviatoslavveres@example.net
Овчаренко,Дмитро,Марківич,male,2004-07-01,Аналітик даних,село Іллінці,"площа Михайла Жванецького, буд. 758 кв. 416, Зіньків, 41635",072 783 78 97,myroslavabramchuk@example.org
Рябченко,Камілла,Станіславівна,female,1978-04-20,Тестувальник,селище Трускавець,"шосе Маршала Говорова, буд. 55, Кіцмань, 47690",088 695-82-16,zynoviiizhakevych@example.org
Гайдай,Павло,Ігорович,male,1986-09-16,Менеджер з продажу,селище Болехів,"проспект Маячний, буд. 68, Родинське, 36319",055 824 02 05,jfilipenko@example.com
Перепелиця,Едуард,Костянтинович,male,1965-12-13,Архітектор,хутір Вільнянськ,"провулок Удільний, буд. 875 кв. 196, Монастириська, 99988",609-49-21,rskyrda@example.com
Ляшко,Прохір,Михайлович,male,1987-03-22,Бухгалтер,місто Сміла,"сквер Гоголя, буд. 6, Гадяч, 08845",+380 27 600-94-00,orkhyp85@example.net
